ac_id,company_id,ac_year,program,csr_report
MGI-001,MGI,2024,Medical Mission,2856
MGI-002,MGI,2024,Health Center,5738
MGI-003,MGI,2024,Health Supplement,35
MGI-004,MGI,2024,Feeding Program,148
MGI-005,MGI,2024,Ambulance Donated,3
MGI-006,MGI,2024,Adopted Schools,2
MGI-007,MGI,2024,College Scholars,15
MGI-008,MGI,2024,Project BEST,32
MGI-009,MGI,2024,Teachers Training,0
MGI-010,MGI,2024,Livelihood Training,251
MGI-011,MGI,2024,Trees Planted,12355
MGI-012,MGI,2024,Ecobricks Produced,5500
PSC-001,PSC,2024,Medical Mission,462
PSC-002,PSC,2024,Health Center,
PSC-003,PSC,2024,Health Supplement,37
PSC-004,PSC,2024,Feeding Program,37
PSC-005,PSC,2024,Ambulance Donated,6
PSC-006,PSC,2024,Adopted Schools,14
PSC-007,PSC,2024,College Scholars,26
PSC-008,PSC,2024,Project BEST,35
PSC-009,PSC,2024,Teachers Training,126
PSC-010,PSC,2024,Livelihood Training,24
PSC-011,PSC,2024,Trees Planted,5419
PSC-012,PSC,2024,Ecobricks Produced,5986
PWEI-001,PWEI,2024,Medical Mission,1471
PWEI-002,PWEI,2024,Health Center,
PWEI-003,PWEI,2024,Health Supplement,142
PWEI-004,PWEI,2024,Feeding Program,
PWEI-005,PWEI,2024,Ambulance Donated,4
PWEI-006,PWEI,2024,Adopted Schools,8
PWEI-007,PWEI,2024,College Scholars,22
PWEI-008,PWEI,2024,Project BEST,37
PWEI-009,PWEI,2024,Teachers Training,110
PWEI-010,PWEI,2024,Livelihood Training,
PWEI-011,PWEI,2024,Trees Planted,60370
PWEI-012,PWEI,2024,Ecobricks Produced,
